timestamp,firewall_agent_cpu,firewall_agent_mem,core_cpu,core_mem,reverse_proxy_agent_cpu,reverse_proxy_agent_mem
1752230695,0.14%,68.54MiB,0.12%,61.51MiB,0.20%,77.44MiB
1752230697,0.12%,68.54MiB,0.16%,61.51MiB,0.20%,77.44MiB
1752230699,0.10%,68.54MiB,0.09%,61.51MiB,0.20%,77.44MiB
1752230701,0.10%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230703,0.12%,68.54MiB,0.09%,61.51MiB,0.20%,77.44MiB
1752230705,0.12%,68.54MiB,0.11%,61.51MiB,0.20%,77.44MiB
1752230707,0.18%,68.54MiB,0.09%,61.51MiB,0.20%,77.44MiB
1752230709,0.10%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230711,0.10%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230713,0.14%,68.54MiB,0.13%,61.51MiB,0.20%,77.44MiB
1752230715,0.14%,68.54MiB,0.12%,61.51MiB,0.20%,77.44MiB
1752230717,0.11%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230719,0.10%,68.54MiB,0.13%,61.51MiB,0.20%,77.44MiB
1752230721,0.13%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230723,0.10%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230725,0.12%,68.54MiB,0.11%,61.51MiB,0.20%,77.44MiB
1752230727,0.13%,68.54MiB,0.12%,61.51MiB,0.20%,77.44MiB
1752230729,0.10%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230731,0.14%,68.54MiB,0.20%,61.51MiB,0.20%,77.44MiB
1752230733,0.09%,68.54MiB,0.12%,61.51MiB,0.20%,77.44MiB
1752230735,0.09%,68.54MiB,0.11%,61.51MiB,0.20%,77.44MiB
1752230737,0.09%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230739,0.19%,68.54MiB,0.11%,61.51MiB,0.20%,77.44MiB
1752230741,0.10%,68.54MiB,0.11%,61.51MiB,0.20%,77.44MiB
1752230743,0.10%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230745,0.09%,68.54MiB,0.09%,61.51MiB,0.20%,77.44MiB
1752230747,0.10%,68.54MiB,0.09%,61.51MiB,0.20%,77.44MiB
1752230749,0.13%,68.54MiB,0.11%,61.51MiB,0.20%,77.44MiB
1752230751,0.11%,68.54MiB,0.09%,61.51MiB,0.20%,77.44MiB
1752230753,0.11%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230755,0.14%,68.54MiB,0.11%,61.51MiB,0.20%,77.44MiB
1752230757,0.14%,68.54MiB,0.13%,61.51MiB,0.20%,77.44MiB
1752230759,0.11%,68.54MiB,0.11%,61.51MiB,0.20%,77.44MiB
1752230761,0.12%,68.54MiB,0.09%,61.51MiB,0.20%,77.44MiB
1752230763,0.13%,68.54MiB,0.12%,61.51MiB,0.20%,77.44MiB
1752230765,0.21%,68.54MiB,0.16%,61.51MiB,0.20%,77.44MiB
1752230767,0.11%,68.54MiB,0.08%,61.51MiB,0.20%,77.44MiB
1752230769,0.10%,68.54MiB,0.09%,61.51MiB,0.20%,77.44MiB
1752230771,0.12%,68.54MiB,0.11%,61.51MiB,0.20%,77.44MiB
1752230773,0.12%,68.54MiB,0.09%,61.51MiB,0.20%,77.44MiB
1752230775,0.13%,68.54MiB,0.15%,61.51MiB,0.20%,77.44MiB
1752230777,0.17%,68.54MiB,0.12%,61.51MiB,0.20%,77.44MiB
1752230779,0.12%,68.54MiB,0.11%,61.51MiB,0.20%,77.44MiB
1752230781,0.13%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230783,0.14%,68.54MiB,0.12%,61.51MiB,0.20%,77.44MiB
1752230785,0.16%,68.54MiB,0.15%,61.51MiB,0.20%,77.44MiB
1752230787,0.13%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230789,0.15%,68.54MiB,0.19%,61.51MiB,0.20%,77.44MiB
1752230791,0.15%,68.54MiB,0.09%,61.51MiB,0.20%,77.44MiB
1752230793,0.09%,68.54MiB,0.13%,61.51MiB,0.20%,77.44MiB
1752230795,0.14%,68.54MiB,0.14%,61.51MiB,0.20%,77.44MiB
1752230797,0.11%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230799,0.09%,68.54MiB,0.12%,61.51MiB,0.20%,77.44MiB
1752230801,0.10%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230803,0.12%,68.54MiB,0.14%,61.51MiB,0.20%,77.44MiB
1752230805,0.11%,68.54MiB,0.12%,61.51MiB,0.20%,77.44MiB
1752230807,0.14%,68.54MiB,0.12%,61.51MiB,0.20%,77.44MiB
1752230809,0.10%,68.54MiB,0.09%,61.51MiB,0.20%,77.44MiB
1752230811,0.11%,68.54MiB,0.11%,61.51MiB,0.20%,77.44MiB
1752230813,0.10%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230815,0.11%,68.54MiB,0.11%,61.51MiB,0.20%,77.44MiB
1752230817,0.11%,68.54MiB,0.12%,61.51MiB,0.20%,77.44MiB
1752230819,0.13%,68.54MiB,0.11%,61.51MiB,0.20%,77.44MiB
1752230821,0.10%,68.54MiB,0.11%,61.51MiB,0.20%,77.44MiB
1752230823,0.12%,68.54MiB,0.13%,61.51MiB,0.20%,77.44MiB
1752230825,0.10%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230827,0.14%,68.54MiB,0.13%,61.51MiB,0.20%,77.44MiB
1752230829,0.10%,68.54MiB,0.12%,61.51MiB,0.20%,77.44MiB
1752230831,0.09%,68.54MiB,0.15%,61.51MiB,0.20%,77.44MiB
1752230833,0.16%,68.54MiB,0.11%,61.51MiB,0.20%,77.44MiB
1752230835,0.10%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230837,0.10%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230839,0.11%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230841,0.10%,68.54MiB,0.15%,61.51MiB,0.20%,77.44MiB
1752230843,0.15%,68.54MiB,0.12%,61.51MiB,0.20%,77.44MiB
1752230845,0.13%,68.54MiB,0.11%,61.51MiB,0.20%,77.44MiB
1752230848,0.10%,68.54MiB,0.13%,61.51MiB,0.20%,77.44MiB
1752230850,0.11%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230852,0.12%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230854,0.11%,68.54MiB,0.16%,61.51MiB,0.20%,77.44MiB
1752230856,0.14%,68.54MiB,0.11%,61.51MiB,0.20%,77.44MiB
1752230858,0.11%,68.54MiB,0.13%,61.51MiB,0.20%,77.44MiB
1752230860,0.11%,68.54MiB,0.11%,61.51MiB,0.20%,77.44MiB
1752230862,0.13%,68.54MiB,0.13%,61.51MiB,0.20%,77.44MiB
1752230864,0.13%,68.54MiB,0.12%,61.51MiB,0.20%,77.44MiB
1752230866,0.12%,68.54MiB,0.11%,61.51MiB,0.20%,77.44MiB
1752230868,0.12%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230870,0.10%,68.54MiB,0.09%,61.51MiB,0.20%,77.44MiB
1752230872,0.11%,68.54MiB,0.12%,61.51MiB,0.20%,77.44MiB
1752230874,0.11%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230876,0.14%,68.54MiB,0.12%,61.51MiB,0.20%,77.44MiB
1752230878,0.11%,68.54MiB,0.13%,61.51MiB,0.20%,77.44MiB
1752230880,0.17%,68.54MiB,0.13%,61.51MiB,0.20%,77.44MiB
1752230882,0.10%,68.54MiB,0.10%,61.51MiB,0.20%,77.44MiB
1752230884,0.10%,68.54MiB,0.11%,61.51MiB,0.20%,77.44MiB
